subject,subject_name,gender,item,item_singular,voicing,item_pair,order,vowel,stop,place,utterancelength,accent_type,prosodic_boundary,norming_voiceless_count,norming_schwa_total,norming_schwa_pure,usable,item_vowel_dur,vowel_dur,comment
6,Anne,female,gobe,gob,voiced,6,124+0i,o,b,labial,1.392,prenuclear,no,1,3,3,usable,153.2,130.65892,creaky voice
6,Anne,female,schmaupe,schmaup,voiceless,10,126+0i,au,p,labial,1.576,prenuclear,no,0,3,3,usable,155.18,134.124316,NA
6,Anne,female,schrieke,schriek,voiceless,11,130+0i,i,k,velar,1.528,prenuclear,no,1,3,3,not_usable,124.84,114.44152,VQ i  ~ e
6,Anne,female,nauge,naug,voiced,9,132+0i,au,g,velar,1.592,prenuclear,no,0,4,4,usable,206.35,183.975564,NA
6,Anne,female,froke,frok,voiceless,4,133+0i,o,k,velar,1.56,prenuclear,no,1,2,2,usable,131.4,120.407071,NA
6,Anne,female,gage,gag,voiced,5,137+0i,a,g,velar,1.473970388,prenuclear,no,1,4,4,usable,220.77,194.276682,NA
6,Anne,female,klape,klap,voiceless,8,143+0i,a,p,labial,1.516127313,prenuclear,no,1,2,2,usable,152.21,142.268259,cant detect bo; set sg
11,Claudia,female,wiepe,wiep,voiceless,12,1+0i,i,p,labial,1.312,prenuclear,no,2,3,3,usable,102.1,123.028322,NA
11,Claudia,female,griete,griet,voiceless,7,3+0i,i,t,alveolar,1.352,prenuclear,no,1,4,4,usable,102.61,135.936703,NA
11,Claudia,female,schriege,schrieg,voiced,11,4+0i,i,g,velar,1.392,prenuclear,no,0,5,5,usable,143.52,117.728517,NA
11,Claudia,female,nauke,nauk,voiceless,9,5+0i,au,k,velar,1.344,prenuclear,no,0,4,4,usable,160.76,209.665562,NA
11,Claudia,female,klabe,klab,voiced,8,10+0i,a,b,labial,1.312,prenuclear,no,1,2,2,usable,157.49,151.226259,NA
11,Claudia,female,drude,drud,voiced,2,14+0i,u,d,alveolar,1.32,prenuclear,no,0,3,3,usable,157.96,115.178414,NA
11,Claudia,female,blode,blod,voiced,1,16+0i,o,d,alveolar,1.272,prenuclear,no,2,2,2,usable,162.92,144.545726,NA
11,Claudia,female,froge,frog,voiced,4,21+0i,o,g,velar,1.272,prenuclear,no,1,2,2,usable,171.49,127.609191,NA
11,Claudia,female,frate,frat,voiceless,3,22+0i,a,t,alveolar,1.28,prenuclear,no,0,4,4,usable,144.68,135.611439,NA
11,Claudia,female,schmaube,schmaub,voiced,10,27+0i,au,b,labial,1.32,prenuclear,no,0,3,3,usable,178.34,129.539211,NO RELEASE
11,Claudia,female,gope,gop,voiceless,6,28+0i,o,p,labial,1.208,prenuclear,no,0,3,3,usable,120.77,114.739251,NO RELEASE
11,Claudia,female,gake,gak,voiceless,5,32+0i,a,k,velar,1.432,nuclear,yes,1,3,3,usable,195.59,201.44192,NA
11,Claudia,female,stauge,staug,voiced,24,38+0i,au,g,velar,1.312,prenuclear,no,0,3,3,usable,169.76,147.951661,NA
11,Claudia,female,schuke,schuk,voiceless,23,39+0i,u,k,velar,1.248,prenuclear,no,1,3,3,usable,113.14,90.390766,NA
11,Claudia,female,pruke,pruk,voiceless,19,44+0i,u,k,velar,1.288,prenuclear,no,1,3,3,usable,92.5,121.889552,NA
11,Claudia,female,quade,quad,voiced,20,46+0i,a,d,alveolar,1.304,prenuclear,no,1,3,3,usable,190.37,167.85545,NA
11,Claudia,female,gaude,gaud,voiced,15,47+0i,au,d,alveolar,1.248,prenuclear,no,0,3,3,usable,213.2,171.905893,NA
11,Claudia,female,mube,mub,voiced,17,48+0i,u,b,labial,1.232,prenuclear,no,1,4,4,usable,190.24,100.006447,NO RELEASE
11,Claudia,female,jiete,jiet,voiceless,16,52+0i,i,t,alveolar,1.224,nuclear,no,2,3,3,usable,140.71,73.806037,NA
11,Claudia,female,flape,flap,voiceless,13,58+0i,a,p,labial,1.36,prenuclear,no,0,5,5,usable,109.48,124.337986,NO RELEASE
11,Claudia,female,roke,rok,voiceless,22,59+0i,o,k,velar,1.2,prenuclear,no,1,2,2,usable,155.85,108.168238,NA
