"","speaker","consonant","vowel","following_phone","word","gender","Voicing","Manner","base_vowel","base_vowel_AvIU","base_vowel_IvU","speaker_mean_f0","f0","utterance_num_syllables","local_f0"
"2708","TU061","s","ab","ab","sağlık","female","voiceless","fricative","A",-0.666666666666667,0,15.3955819882489,16.5636099962611,15,16.1310426642923
"2709","TU061","k","ab","b","kabul","female","voiceless","plosive","A",-0.666666666666667,0,15.3955819882489,14.8572722448997,24,14.9887266509153
"2710","TU061","f","ab","z","fazilet","female","voiceless","fricative","A",-0.666666666666667,0,15.3955819882489,14.5237271499339,14,16.0767850443711
"2711","TU061","b","ab","S","başbakan","female","voiced","plosive","A",-0.666666666666667,0,15.3955819882489,17.8596925509044,28,16.6545464455516
"2712","TU061","s","ab","n","sanayicilere","female","voiceless","fricative","A",-0.666666666666667,0,15.3955819882489,17.9492128246703,22,18.4293539002065
"2713","TU061","b","ab","z","bazı","female","voiced","plosive","A",-0.666666666666667,0,15.3955819882489,13.793175222421,19,16.93354357009
"2714","TU061","b","ab","z","bazen","female","voiced","plosive","A",-0.666666666666667,0,15.3955819882489,14.5551220680289,13,16.1401192109179
"2715","TU061","g","ab","z","gazetecilere","female","voiced","plosive","A",-0.666666666666667,0,15.3955819882489,14.500729316543,14,16.7829589917102
"2716","TU061","g","ab","z","gazetecilerin","female","voiced","plosive","A",-0.666666666666667,0,15.3955819882489,13.6109753388299,15,15.2197507867266
"2717","TU061","b","ab","k","bakan","female","voiced","plosive","A",-0.666666666666667,0,15.3955819882489,11.8572248377312,4,14.8873531292722
"2718","TU061","t","ab","S","taşar","female","voiceless","plosive","A",-0.666666666666667,0,15.3955819882489,14.2148851520746,32,17.2467061139713
"2719","TU062","d","i","k","dikkat","male","voiced","plosive","I",0.333333333333333,-0.5,4.78853586258032,4.07855790830357,6,4.52214793563383
"2720","TU062","b","i","r","birçok","male","voiced","plosive","I",0.333333333333333,-0.5,4.78853586258032,6.99079780429563,13,5.05533678726365
"2721","TU062","b","i","r","bir","male","voiced","plosive","I",0.333333333333333,-0.5,4.78853586258032,6.25756748517963,12,4.21808444762773
"2722","TU062","t","i","dZ","ticaretine","male","voiceless","plosive","I",0.333333333333333,-0.5,4.78853586258032,4.19917067170422,8,5.11205217553813
"2723","TU062","b","i","n","1993","male","voiced","plosive","I",0.333333333333333,-0.5,4.78853586258032,2.95115676734454,15,5.07929354821514
"2724","TU062","b","i","r","bir","male","voiced","plosive","I",0.333333333333333,-0.5,4.78853586258032,4.45889845282896,14,3.92151583791438
"2725","TU062","dZ","i","v","civarında","male","voiced","affricate","I",0.333333333333333,-0.5,4.78853586258032,3.36250389191655,16,4.39179908111984
"2726","TU062","b","u","n","bunu","male","voiced","plosive","U",0.333333333333333,0.5,4.78853586258032,1.50759940296743,19,3.06262797280986
"2727","TU062","b","i","r","birer","male","voiced","plosive","I",0.333333333333333,-0.5,4.78853586258032,4.40892048306063,10,6.30665401794007
"2728","TU062","b","u","d","bu","male","voiced","plosive","U",0.333333333333333,0.5,4.78853586258032,6.11684499731195,10,3.04548937134206
"2729","TU062","b","u","r","burada","male","voiced","plosive","U",0.333333333333333,0.5,4.78853586258032,5.27994687578693,12,5.61136487279892
"2730","TU062","b","u","j","bu","male","voiced","plosive","U",0.333333333333333,0.5,4.78853586258032,7.27685579720276,30,5.62308886789612
"2731","TU062","b","u","v","bu","male","voiced","plosive","U",0.333333333333333,0.5,4.78853586258032,5.34808839483638,22,5.0104805142068
"2732","TU062","b","u","k","bu","male","voiced","plosive","U",0.333333333333333,0.5,4.78853586258032,7.62662086241239,23,5.78624527570008
"2733","TU062","b","u","s","bu","male","voiced","plosive","U",0.333333333333333,0.5,4.78853586258032,6.52945872907242,16,4.59764963751974
"2734","TU062","b","u","s","bu","male","voiced","plosive","U",0.333333333333333,0.5,4.78853586258032,7.11113446030781,16,5.84767054379287
"2735","TU062","b","u","n","bunun","male","voiced","plosive","U",0.333333333333333,0.5,4.78853586258032,6.90539104265875,9,3.75705088468963
"2736","TU062","s","ab","h","sahip","male","voiceless","fricative","A",-0.666666666666667,0,4.78853586258032,3.74514971450061,6,4.64310553723504
"2737","TU062","f","ab","i","faili","male","voiceless","fricative","A",-0.666666666666667,0,4.78853586258032,4.2943397209183,22,7.08936065985101
"2738","TU062","Z","ab","p","japonya","male","voiced","fricative","A",-0.666666666666667,0,4.78853586258032,4.55044471168533,9,7.39244315229529
"2739","TU062","f","ab","i","faili","male","voiceless","fricative","A",-0.666666666666667,0,4.78853586258032,3.58300574457107,19,5.59907533676805
"2740","TU062","p","ab","r","parçalarına","male","voiceless","plosive","A",-0.666666666666667,0,4.78853586258032,3.75373199748167,13,3.3249144949195
"2741","TU062","f","ab","i","faili","male","voiceless","fricative","A",-0.666666666666667,0,4.78853586258032,4.80820689879604,10,5.81011597606941
"2742","TU062","f","ab","r","fark","male","voiceless","fricative","A",-0.666666666666667,0,4.78853586258032,5.6473748429415,15,4.15305014998976
"2743","TU062","Z","ab","p","japonyaya","male","voiced","fricative","A",-0.666666666666667,0,4.78853586258032,4.47988477209234,19,5.75030498947956
"2744","TU062","k","ab","s","kasıtlı","male","voiceless","plosive","A",-0.666666666666667,0,4.78853586258032,5.00228599013745,3,6.15963453109863
"2745","TU062","v","ab","S","washington","male","voiced","fricative","A",-0.666666666666667,0,4.78853586258032,3.8686246944385,9,6.13950299491392
"2746","TU062","s","u","b","şubat","male","voiceless","fricative","U",0.333333333333333,0.5,4.78853586258032,5.51489408483006,21,5.95570149359428
"2747","TU062","d","ab","h","daha","male","voiced","plosive","A",-0.666666666666667,0,4.78853586258032,5.05349294261956,5,5.76895989861011
"2748","TU062","f","ab","i","faili","male","voiceless","fricative","A",-0.666666666666667,0,4.78853586258032,4.77908743563691,11,5.48487364432301
"2749","TU062","p","ab","r","parada","male","voiceless","plosive","A",-0.666666666666667,0,4.78853586258032,4.49181879056594,20,6.48961676120491
"2750","TU062","s","ab","d","sadece","male","voiceless","fricative","A",-0.666666666666667,0,4.78853586258032,5.50712645647926,8,5.77634514470766
"2751","TU062","Z","ab","p","japon","male","voiced","fricative","A",-0.666666666666667,0,4.78853586258032,3.81710246500302,16,5.00483599494556
"2752","TU062","k","ab","r","karşı","male","voiceless","plosive","A",-0.666666666666667,0,4.78853586258032,1.46869742991352,11,2.58292444455439
"2753","TU062","d","ab","r","daraltılıp","male","voiced","plosive","A",-0.666666666666667,0,4.78853586258032,3.7922005930394,4,5.24249051198611
"2754","TU062","v","ab","t","vatandaşlar","male","voiced","fricative","A",-0.666666666666667,0,4.78853586258032,3.17212113915414,4,5.48015360819061
"2755","TU062","b","ab","S","başlıyor","male","voiced","plosive","A",-0.666666666666667,0,4.78853586258032,5.53862404510766,3,NA
"2756","TU062","Z","ab","p","japon","male","voiced","fricative","A",-0.666666666666667,0,4.78853586258032,4.65907786001935,2,6.06371312959769
"2757","TU063","b","i","g","bir","female","voiced","plosive","I",0.333333333333333,-0.5,12.7525602667499,15.784394219285,12,12.2479667832114
"2758","TU063","b","i","t","bitlisin","female","voiced","plosive","I",0.333333333333333,-0.5,12.7525602667499,16.4259590733242,17,14.1258981023238
"2759","TU063","b","i","t","bir","female","voiced","plosive","I",0.333333333333333,-0.5,12.7525602667499,16.6464919102491,23,10.5655725072368
"2760","TU063","b","i","t","bitlisin","female","voiced","plosive","I",0.333333333333333,-0.5,12.7525602667499,16.0375538128866,51,14.9056199517444
"2761","TU063","S","u","r","şuranın","female","voiceless","fricative","U",0.333333333333333,0.5,12.7525602667499,15.133507402803,13,15.9062478781296
"2762","TU063","b","u","l","bulgaristan","female","voiced","plosive","U",0.333333333333333,0.5,12.7525602667499,15.1080260072048,18,15.9573169728393
"2763","TU063","b","u","n","bunu","female","voiced","plosive","U",0.333333333333333,0.5,12.7525602667499,16.5593884303081,8,15.7878882948362
"2764","TU063","b","u","h","bu","female","voiced","plosive","U",0.333333333333333,0.5,12.7525602667499,14.3474380626429,34,13.7518175869616
"2765","TU063","b","u","s","bu","female","voiced","plosive","U",0.333333333333333,0.5,12.7525602667499,15.6829589235399,20,13.6931125284664
"2766","TU063","d","u","j","duyan","female","voiced","plosive","U",0.333333333333333,0.5,12.7525602667499,11.4135372371293,19,11.5504957350577
"2767","TU063","b","u","n","buna","female","voiced","plosive","U",0.333333333333333,0.5,12.7525602667499,15.4434090005114,35,12.7510038929656
